ID,Name,Age,Nationality,Overall,Potential,Club,ValueInMillions,WageInThousands,Special,PreferredFoot,InternationalReputation,WeakFoot,SkillMoves,WorkRate,JerseyNumber,Joined,ContractValidUntil,HeightInInches,WeightInPounds,ReleaseClause,Jumping,Strength,SprintSpeed,Agility,Balance,Vision,Dribbling,BallControl
175943,D. Mertens,31,Belgium,87,87,Napoli,45,135,2043,Right,3,4,4,High/ Low,14,"Jul 1, 2013",2020,5.7,134,76.5,60,42,85,94,92,83,91,89
172871,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,34,155,2079,Left,3,3,3,High/ High,5,"Jul 1, 2012",2019,6.2,190,62.9,85,79,65,61,60,68,71,76
171877,M. Hamšík,30,Slovakia,87,87,Napoli,46.5,125,2188,Right,3,5,3,High/ Medium,17,"Jul 1, 2007",2020,6,174,79.1,71,67,68,76,66,86,86,87
168651,I. Rakitić,30,Croatia,87,87,FC Barcelona,46.5,260,2184,Right,4,3,3,High/ High,4,"Jul 1, 2014",2021,6,172,95.3,39,66,59,72,66,86,84,87
152729,Piqué,31,Spain,87,87,FC Barcelona,34,240,1950,Right,4,3,2,High/ Medium,3,"Jul 1, 2008",2022,6.4,187,69.7,74,83,60,58,36,62,59,78
222492,L. Sané,22,Germany,86,92,Manchester City,61,195,2090,Left,2,3,4,High/ Medium,19,"Aug 2, 2016",2021,6,165,125.1,64,70,96,88,81,82,88,85
218667,Bernardo Silva,23,Portugal,86,91,Manchester City,59.5,180,2039,Left,2,3,4,High/ Medium,11,"Jul 1, 2017",2022,5.8,141,114.5,50,48,74,90,88,86,92,91
210257,Ederson,24,Brazil,86,90,Manchester City,41.5,125,1463,Left,2,3,1,Medium/ Medium,31,"Jul 1, 2017",2025,6.2,190,79.9,58,68,63,60,48,67,23,37
208722,S. Mané,26,Senegal,86,87,Liverpool,52,195,2110,Right,3,4,4,High/ Medium,10,"Jul 1, 2016",2023,5.9,152,102.7,75,67,93,91,86,82,87,86
203376,V. van Dijk,26,Netherlands,86,88,Liverpool,44.5,165,2046,Right,3,3,2,Medium/ Medium,4,"Jan 1, 2018",2023,6.4,203,87.9,85,92,77,61,49,59,70,73
202652,R. Sterling,23,England,86,89,Manchester City,56.5,195,2036,Right,3,3,4,High/ Medium,10,"Jul 14, 2015",2023,5.7,152,108.8,57,52,92,93,93,77,88,87
201942,Roberto Firmino,26,Brazil,86,87,Liverpool,53,195,2187,Right,3,4,4,High/ High,9,"Jul 6, 2015",2023,5.11,168,104.7,81,74,77,80,81,85,87,88
201535,R. Varane,25,France,86,91,Real Madrid,50,210,1895,Right,3,3,2,Medium/ High,4,"Jul 1, 2011",2022,6.3,179,106.3,79,84,85,63,40,56,57,77
199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,55,135,2149,Right,3,4,4,Medium/ High,6,"Jul 18, 2012",2021,5.5,132,105.9,64,52,62,87,94,87,90,88
191043,Alex Sandro,27,Brazil,86,86,Juventus,36.5,160,2198,Left,3,3,3,High/ High,12,"Aug 21, 2015",2020,5.11,176,60.2,79,79,86,79,78,70,80,81
190483,Douglas Costa,27,Brazil,86,86,Juventus,46.5,175,2111,Left,3,3,5,High/ Medium,11,"Jul 1, 2018",2022,5.8,154,76.7,61,63,93,93,91,84,92,91
189596,T. Müller,28,Germany,86,86,FC Bayern München,45,135,2097,Right,4,4,3,High/ High,13,"Aug 10, 2008",2021,6.1,165,74.3,81,68,75,75,72,85,75,82
189509,Thiago,27,Spain,86,86,FC Bayern München,45.5,130,2190,Right,3,3,5,Medium/ Medium,19,"Jul 14, 2013",2021,5.9,154,75.1,75,59,69,90,86,86,90,90
188350,M. Reus,29,Germany,86,86,Borussia Dortmund,43.5,100,2172,Right,4,4,4,High/ Medium,11,"Jul 1, 2012",2023,5.11,157,74,70,67,85,86,81,86,87,86
184432,Azpilicueta,28,Spain,86,86,Chelsea,35,175,2114,Right,3,3,2,Medium/ Medium,14,"Aug 24, 2012",2022,5.1,168,64.8,76,71,76,72,73,74,69,77
184344,L. Bonucci,31,Italy,86,86,Juventus,30,160,1978,Right,3,3,2,Low/ High,19,"Aug 2, 2018",2023,6.3,187,49.5,85,83,65,60,52,74,69,75
184087,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,39,150,2047,Right,3,3,2,Medium/ Medium,2,"Jul 8, 2015",2020,6.1,179,75.1,84,79,66,60,50,67,62,74
180206,M. Pjanić,28,Bosnia Herzegovina,86,86,Juventus,44,180,2182,Right,3,4,3,Medium/ Medium,5,"Jul 1, 2016",2023,5.1,159,72.6,61,66,66,77,79,88,86,89
177509,M. Benatia,31,Morocco,86,86,Juventus,30,160,1803,Right,3,3,2,Medium/ High,4,"Aug 26, 2014",2020,6.2,207,49.5,85,91,75,59,53,47,64,64
176635,M. Özil,29,Germany,86,86,Arsenal,43.5,190,1911,Left,4,2,4,Medium/ Low,10,"Sep 2, 2013",2021,5.11,168,82.7,48,57,69,79,70,91,84,90
135507,Fernandinho,33,Brazil,86,86,Manchester City,18,185,2183,Right,3,4,3,Medium/ High,25,"Jul 1, 2013",2020,5.1,148,33.3,76,76,67,72,78,75,77,82
41,Iniesta,34,Spain,86,86,Vissel Kobe,21.5,21,2058,Right,4,4,4,High/ Medium,8,"Jul 16, 2018",2021,5.7,150,26.9,47,58,67,79,84,93,90,92
232363,M. Škriniar,23,Slovakia,85,92,Inter,46.5,82,1800,Right,1,4,2,Medium/ High,37,"Jul 7, 2017",2022,6.2,176,88.4,78,83,73,48,48,57,59,67
223848,S. Milinković-Savić,23,Serbia,85,90,Lazio,50.5,73,2206,Right,2,4,4,High/ Medium,21,"Aug 6, 2015",2023,6.3,168,89.6,85,88,70,66,59,85,86,87
220834,Marco Asensio,22,Spain,85,92,Real Madrid,54,215,2050,Left,3,3,4,High/ Medium,10,"Jul 1, 2015",2023,6,168,121.5,58,61,82,79,76,84,86,85
216594,N. Fekir,24,France,85,89,Olympique Lyonnais,50,92,2102,Left,3,3,4,High/ Medium,18,"Jul 1, 2013",2020,5.8,165,98.8,69,82,79,90,91,81,90,89
212831,Alisson,25,Brazil,85,90,Liverpool,36.5,115,1320,Right,3,3,1,Medium/ Medium,13,"Jul 19, 2018",2024,6.3,201,72.1,52,78,45,40,37,66,27,30
212622,J. Kimmich,23,Germany,85,88,FC Bayern München,40.5,92,2185,Right,3,4,3,High/ Low,18,"Jul 1, 2015",2023,5.9,154,69.9,79,65,68,84,83,79,80,85
208421,Saúl,23,Spain,85,90,Atlético Madrid,50.5,77,2196,Left,3,4,3,High/ High,6,"Jul 1, 2013",2026,6,170,107.3,79,77,73,76,69,82,83,85
204485,R. Mahrez,27,Algeria,85,85,Manchester City,40.5,205,2031,Left,3,4,5,Medium/ Medium,26,"Jul 10, 2018",2023,5.1,148,74.9,61,54,83,93,88,81,91,90
197445,D. Alaba,26,Austria,85,87,FC Bayern München,38,110,2261,Left,4,4,3,High/ Medium,8,"Feb 10, 2010",2021,5.11,168,65.6,82,71,86,79,77,77,79,83
193747,Koke,26,Spain,85,86,Atlético Madrid,45,88,2175,Right,3,4,3,High/ High,8,"Jan 1, 2011",2019,5.9,163,95.6,61,79,68,74,78,87,82,86
193301,A. Lacazette,27,France,85,86,Arsenal,45,180,2060,Right,3,4,4,High/ High,9,"Jul 5, 2017",2022,5.9,161,88.9,76,73,84,85,85,76,85,83
192774,K. Manolas,27,Greece,85,87,Roma,37.5,96,1642,Right,3,2,2,Low/ High,4,"Aug 26, 2014",2022,6.2,183,66.6,86,82,85,68,59,22,54,65
192366,N. Otamendi,30,Argentina,85,85,Manchester City,28.5,170,1916,Right,3,3,2,High/ High,30,"Aug 20, 2015",2022,6,179,52.7,92,80,61,64,62,53,51,70
189513,Parejo,29,Spain,85,85,Valencia CF,37,66,2119,Right,2,4,3,Medium/ Low,10,"Jul 1, 2011",2020,6,163,77.7,51,72,43,66,72,86,78,84
187961,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,37,235,2245,Right,3,3,3,High/ High,9,,"Jun 30, 2019",6,157,,90,81,73,69,66,78,82,84
186153,W. Szczęsny,28,Poland,85,87,Juventus,32,125,1270,Right,3,3,1,Medium/ Medium,1,"Jul 19, 2017",2021,6.5,198,55.2,71,65,47,55,51,48,11,22
184941,A. Sánchez,29,Chile,85,85,Manchester United,37.5,215,2172,Right,4,3,4,High/ High,7,"Jan 22, 2018",2022,5.7,163,69.4,87,72,79,90,87,82,87,86
184267,Y. Brahimi,28,Algeria,85,85,FC Porto,39,28,2030,Right,3,3,4,High/ Medium,8,"Jul 22, 2014",2019,5.9,146,78,72,49,75,92,87,79,93,86
183907,J. Boateng,29,Germany,85,85,FC Bayern München,30,115,1948,Right,4,4,2,Medium/ Medium,17,"Jul 14, 2011",2021,6.4,198,49.5,74,91,72,56,52,75,64,70
181872,A. Vidal,31,Chile,85,85,FC Barcelona,26,205,2230,Right,4,4,3,Medium/ Medium,8,"Aug 6, 2018",2021,5.11,165,53.3,85,79,55,74,75,80,76,82
181458,I. Perišić,29,Croatia,85,85,Inter,37.5,110,2199,Right,3,5,4,Medium/ Medium,44,"Sep 1, 2015",2022,6.1,176,63.8,84,78,88,78,74,79,84,85
180930,E. Džeko,32,Bosnia Herzegovina,85,85,Roma,30.5,115,1931,Right,3,5,2,Medium/ Medium,9,"Jul 1, 2015",2020,6.4,185,51.9,66,80,66,57,36,74,76,84
179846,S. Khedira,31,Germany,85,85,Juventus,33,160,2154,Right,3,4,2,High/ High,6,"Jul 1, 2015",2021,6.2,198,54.5,68,87,60,55,54,82,81,84
179844,Diego Costa,29,Spain,85,85,Atlético Madrid,38.5,100,2003,Right,4,4,2,High/ Medium,19,"Jan 1, 2018",2021,6.2,190,78.9,64,92,76,58,53,74,77,83
178518,R. Nainggolan,30,Belgium,85,85,Inter,35.5,105,2278,Right,3,3,3,High/ High,14,"Jul 1, 2018",2022,5.9,170,60.4,76,77,73,76,82,76,80,85
171919,Naldo,35,Brazil,85,85,FC Schalke 04,9,38,1959,Right,3,4,2,Medium/ Medium,29,"Jul 1, 2016",2020,6.6,201,15.3,45,83,65,46,36,59,60,68
170890,B. Matuidi,31,France,85,85,Juventus,26,145,2196,Left,3,2,2,High/ High,14,"Aug 18, 2017",2020,5.11,165,42.9,84,76,77,83,79,76,78,79
168609,Miranda,33,Brazil,85,85,Inter,15.5,96,1879,Right,3,3,2,Medium/ High,23,"Jul 1, 2017",2020,6.1,172,26.4,82,79,69,61,57,58,67,73
165153,K. Benzema,30,France,85,85,Real Madrid,37,240,2000,Right,4,4,4,Medium/ Low,9,"Jul 9, 2009",2021,6.1,179,75.9,73,80,76,76,66,85,83,86
164169,Filipe Luís,32,Brazil,85,85,Atlético Madrid,21.5,81,2145,Left,3,3,3,High/ Medium,3,"Jul 28, 2015",2019,6,163,44.1,71,74,75,75,62,70,77,83
139720,V. Kompany,32,Belgium,85,85,Manchester City,22,170,1898,Right,4,3,2,Medium/ High,4,"Aug 22, 2008",2019,6.3,187,40.7,72,87,59,57,41,59,63,70
120533,Pepe,35,Portugal,85,85,Beşiktaş JK,9,57,1832,Right,4,3,2,Medium/ High,3,"Jul 4, 2017",2019,6.2,179,17.1,76,86,70,63,49,48,58,62
41236,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,14,15,2012,Right,5,4,5,Medium/ Low,9,"Mar 23, 2018",2022,6.5,209,21,68,86,59,75,39,79,79,84
220793,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,34,105,1809,Right,2,3,2,Medium/ High,23,"Aug 26, 2017",2024,6.2,174,65.5,73,83,79,60,55,49,63,73
216460,J. Giménez,23,Uruguay,84,88,Atlético Madrid,34,63,1758,Right,2,3,2,Medium/ High,24,"Jul 1, 2013",2023,6.1,176,72.3,92,85,70,56,43,27,47,56
212462,Alex Telles,25,Brazil,84,87,FC Porto,32,22,2259,Left,3,2,3,High/ Medium,13,"Jul 13, 2016",2021,5.11,157,66.4,81,68,85,73,70,74,82,82
212218,A. Laporte,24,France,84,88,Manchester City,34,135,1912,Left,2,3,2,Medium/ Medium,14,"Jan 30, 2018",2023,6.2,187,65.5,75,82,66,45,55,57,59,73
212198,Bruno Fernandes,23,Portugal,84,88,Sporting CP,40.5,22,2223,Right,2,3,4,High/ Medium,8,"Jul 1, 2017",2023,5.1,152,84,72,67,76,77,78,86,83,85
212190,N. Süle,22,Germany,84,90,FC Bayern München,36.5,84,1648,Right,2,3,2,Medium/ Medium,15,"Jul 1, 2017",2022,6.5,214,67.5,38,94,84,33,33,30,42,63
211300,A. Martial,22,France,84,90,Manchester United,42.5,165,2064,Right,3,3,4,Medium/ Medium,11,"Sep 1, 2015",2019,6,168,87.1,74,75,89,85,81,73,87,86
211117,D. Alli,22,England,84,90,Tottenham Hotspur,42.5,115,2189,Right,3,3,4,High/ High,20,"Feb 2, 2015",2024,6.2,176,87.1,67,71,76,76,62,85,83,85
209499,Fabinho,24,Brazil,84,88,Liverpool,34,120,2164,Right,3,2,3,Medium/ Medium,3,"Jul 1, 2018",2023,6.2,172,67.2,75,79,72,69,67,75,76,82
207865,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,35.5,90,1879,Right,3,3,2,Medium/ Medium,5,"Jul 19, 2013",2022,6,165,68.3,86,74,76,69,68,51,59,76
207566,William Carvalho,26,Portugal,84,86,Real Betis,31.5,38,1985,Right,3,4,3,Medium/ Medium,14,"Jul 13, 2018",2023,6.2,183,68.5,69,90,53,51,51,83,80,79
205498,Jorginho,26,Italy,84,87,Chelsea,38,155,2136,Right,2,3,3,Medium/ Medium,8,"Jul 16, 2018",2023,5.11,148,73.2,58,66,69,80,73,87,82,85
204970,F. Thauvin,25,France,84,87,Olympique de Marseille,39,72,2091,Left,2,3,4,High/ Medium,20,"Jul 1, 2017",2021,5.1,154,77,76,66,80,86,71,80,85,86
204963,Carvajal,26,Spain,84,87,Real Madrid,31.5,185,2040,Right,3,3,3,High/ High,2,"Jul 5, 2013",2022,5.8,161,66.9,76,74,84,81,79,57,76,83
202556,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,42,93,2083,Right,3,3,5,High/ Low,10,"Jan 20, 2017",2021,5.9,172,83,74,80,87,82,79,82,85,85
200104,H. Son,25,Korea Republic,84,85,Tottenham Hotspur,37,125,2079,Right,3,5,4,High/ High,7,"Aug 28, 2015",2023,6,143,71.2,63,63,87,82,76,80,88,85
199482,A. Lopes,27,Portugal,84,86,Olympique Lyonnais,25,72,1355,Left,2,2,1,Medium/ Medium,1,"Jul 1, 2011",2020,6,179,49.4,82,73,64,67,62,48,15,21
198176,S. de Vrij,26,Netherlands,84,86,Inter,31.5,88,1808,Right,3,4,2,Medium/ High,14,"Jul 1, 2018",2023,6.2,172,55.9,76,80,69,61,59,59,63,71
198009,M. Perin,25,Italy,84,89,Juventus,29.5,105,1254,Right,2,3,1,Medium/ Medium,22,"Jul 1, 2018",2022,6.2,170,50.9,75,52,56,70,30,44,19,23
193082,J. Cuadrado,30,Colombia,84,84,Juventus,29.5,150,2163,Right,3,3,5,High/ Medium,11,"Feb 2, 2015",2020,5.1,159,48.7,75,61,93,91,82,76,90,85
192629,Iago Aspas,30,Spain,84,84,RC Celta,30,45,2057,Left,2,3,3,High/ High,17,"Jul 1, 2015",2022,5.9,148,63,68,60,78,87,74,75,86,85
192563,B. Leno,26,Germany,84,87,Arsenal,27,115,1278,Right,3,4,1,Medium/ Medium,12,"Jul 1, 2018",2023,6.3,183,53.3,73,68,52,52,44,54,16,22
191202,N. Matić,29,Serbia,84,84,Manchester United,24,165,2100,Left,3,3,3,Medium/ High,31,"Jul 31, 2017",2020,6.4,187,44.4,67,85,59,44,50,73,80,79
190941,L. Hrádecký,28,Finland,84,84,Bayer 04 Leverkusen,22,74,1132,Right,2,3,1,Medium/ Medium,1,"Jul 1, 2018",2023,6.4,187,37.4,69,55,44,43,39,53,10,20
190584,Illarramendi,28,Spain,84,84,Real Sociedad,31,51,2097,Right,2,3,4,Medium/ High,4,"Aug 26, 2015",2023,5.1,165,65.1,63,68,57,71,75,86,78,83
188377,K. Walker,28,England,84,84,Manchester City,24.5,165,2175,Right,3,2,2,High/ High,2,"Jul 14, 2017",2022,6,154,45.3,83,75,93,67,72,69,79,78
186942,I. Gündoğan,27,Germany,84,84,Manchester City,32,175,2138,Right,3,4,4,High/ Medium,21,"Jul 1, 2016",2020,5.11,176,59.2,61,72,68,78,78,86,85,86
185020,José Callejón,31,Spain,84,84,Napoli,27.5,105,2045,Right,3,3,3,High/ High,7,"Jul 11, 2013",2020,5.1,161,46.8,73,55,89,85,80,78,82,85
183898,A. Di María,30,Argentina,84,84,Paris Saint-Germain,29.5,125,2113,Left,4,2,5,High/ Medium,11,"Aug 6, 2015",2021,5.11,152,54.6,72,60,84,92,77,82,86,85
181783,M. Mandžukić,32,Croatia,84,84,Juventus,25,160,2106,Right,3,3,3,High/ High,17,"Jul 1, 2015",2020,6.3,187,41.3,85,85,73,67,53,74,76,77
180403,Willian,29,Brazil,84,84,Chelsea,30.5,175,2052,Right,3,4,4,High/ High,22,"Aug 28, 2013",2020,5.9,172,56.4,41,60,86,89,79,83,88,84
178750,Sergio Asenjo,29,Spain,84,85,Villarreal CF,24,42,1333,Right,2,3,1,Medium/ Medium,1,"Jun 30, 2014",2022,6.2,192,52.2,73,73,54,62,58,46,15,14
178562,E. Banega,30,Argentina,84,84,Sevilla FC,29,31,2133,Right,3,4,4,Medium/ Medium,10,"Jul 3, 2017",2020,5.9,157,60.9,57,67,64,79,83,88,84,86
177413,A. Witsel,29,Belgium,84,84,Borussia Dortmund,24,77,2200,Right,3,4,4,Medium/ Medium,6,"Aug 17, 2018",2022,6.2,179,40.8,76,82,74,78,60,79,78,84
177388,D. Payet,31,France,84,84,Olympique de Marseille,27.5,75,2053,Right,3,4,4,High/ Low,18,"Jan 30, 2017",2021,5.9,170,52.3,48,72,72,79,80,87,86,90
176769,Jonas,34,Brazil,84,84,SL Benfica,16.5,25,2023,Right,3,5,3,High/ Medium,10,"Sep 12, 2014",2020,5.11,163,33,69,63,64,77,69,83,84,88
